vehicle_class,entrance_site,exit_site,percentage
4H,20,20,0
4H,20,B2,0
4H,21,24,0.168009056
4H,21,15,0.168357351
4H,21,21,0
4H,21,18,0.042622665
4H,21,17,0.141669206
4H,21,23,0.114676303
4H,21,19,0.113108973
4H,21,B1,0.021463712
4H,21,22,0.0253385
4H,21,B3,0.047237581
4H,21,21B,0.038704341
4H,21,16H,0.00626932
4H,21,20,0.112542993
4H,21,B2,0
4H,21B,24,0.185429246
4H,21B,15,0.179238054
4H,21B,21,0.033928955
4H,21B,18,0.017194348
4H,21B,17,0.131179698
4H,21B,23,0.168326846
4H,21B,19,0.039783002
4H,21B,B1,0.085420051
4H,21B,22,0.052625126
4H,21B,B3,0.067275569
4H,21B,21B,0
4H,21B,16H,0.002114813
4H,21B,20,0.036840653
4H,21B,B2,0.000643639
4H,22,24,0.150257745
4H,22,15,0.030521104
4H,22,21,0.032817843
4H,22,18,0.008931761
4H,22,17,0.056550809
4H,22,23,0.0763538
4H,22,19,0.02133415
4H,22,B1,0.251161129
4H,22,22,0
4H,22,B3,0.240443015
4H,22,21B,0.103353238
4H,22,16H,0.00112285
4H,22,20,0.012606543
4H,22,B2,0.014546011
4H,23,24,0.193404526
4H,23,15,0.349093253
4H,23,21,0.039161716
4H,23,18,0.017176803
4H,23,17,0.170165322
4H,23,23,0
4H,23,19,0.033656778
4H,23,B1,0.003048621
4H,23,22,0.040346323
4H,23,B3,0.035712419
4H,23,21B,0.08053586
4H,23,16H,0.006706967
4H,23,20,0.030608156
4H,23,B2,0.000383255
4H,24,24,0
4H,24,15,0.285423754
4H,24,21,0.034555088
4H,24,18,0.049493393
4H,24,17,0.287758434
4H,24,23,0.10222433
4H,24,19,0.086930352
4H,24,B1,0.003310503
4H,24,22,0.025936836
4H,24,B3,0.03212921
4H,24,21B,0.057327339
4H,24,16H,0.009457278
4H,24,20,0.025325806
4H,24,B2,0.000127678
4H,B1,24,0.002539188
4H,B1,15,0.024788506
4H,B1,21,0.003959624
4H,B1,18,0.003255691
4H,B1,17,0.030482823
4H,B1,23,0.006083994
4H,B1,19,0.00423617
4H,B1,B1,0
4H,B1,22,0.048546252
4H,B1,B3,0.831232009
4H,B1,21B,0.032079243
4H,B1,16H,0.000502809
4H,B1,20,0.002086659
4H,B1,B2,0.010207032
4H,B2,24,0.014541387
4H,B2,15,0.024049217
4H,B2,21,0
4H,B2,18,0
4H,B2,17,0.020134228
4H,B2,23,0.013982103
4H,B2,19,0.007829978
4H,B2,B1,0.377516779
4H,B2,22,0.085011186
4H,B2,B3,0.435123043
4H,B2,21B,0.015100671
4H,B2,16H,0
4H,B2,20,0.006711409
4H,B2,B2,0
4H,B3,24,0.055721341
4H,B3,15,0.045583572
4H,B3,21,0.007475955
4H,B3,18,0.007850273
4H,B3,17,0.103062126
4H,B3,23,0.028510528
4H,B3,19,0.011739017
4H,B3,B1,0.650688848
4H,B3,22,0.044897323
4H,B3,B3,0
4H,B3,21B,0.020473096
4H,B3,16H,0.002069145
4H,B3,20,0.016542761
4H,B3,B2,0.005386015
4L,15,24,0.279264764
4L,15,15,0
4L,15,21,0.038800473
4L,15,18,0.034739576
4L,15,17,0.408917533
4L,15,23,0.073375641
4L,15,19,0.067456925
4L,15,B1,0.014336446
4L,15,22,0.004603446
4L,15,B3,0.03143496
4L,15,21B,0.011212679
4L,15,16H,0
4L,15,20,0.034591609
4L,15,B2,0.001265948
4L,16,24,0.204295154
4L,16,15,0
4L,16,21,0.035242291
4L,16,18,0.071310573
4L,16,17,0.485682819
4L,16,23,0.048182819
4L,16,19,0.075165198
4L,16,B1,0.009636564
4L,16,22,0.003028634
4L,16,B3,0.014317181
4L,16,21B,0.010737885
4L,16,16H,0.00660793
4L,16,20,0.035792952
4L,16,B2,0
4L,17,24,0.173668513
4L,17,15,0.358351086
4L,17,21,0.053621645
4L,17,18,0.048061355
4L,17,17,0
4L,17,23,0.072241159
4L,17,19,0.121878994
4L,17,B1,0.016126971
4L,17,22,0.005432467
4L,17,B3,0.038836813
4L,17,21B,0.014230933
4L,17,16H,0.04011504
4L,17,20,0.056305922
4L,17,B2,0.001129101
4L,18,24,0.197519929
4L,18,15,0.136846767
4L,18,21,0.075996457
4L,18,18,0
4L,18,17,0.162444641
4L,18,23,0.080159433
4L,18,19,0.151727192
4L,18,B1,0.015323295
4L,18,22,0.010806023
4L,18,B3,0.033126661
4L,18,21B,0.027192205
4L,18,16H,0.024977857
4L,18,20,0.083348096
4L,18,B2,0.000531444
4L,19,24,0.155584284
4L,19,15,0.147096847
4L,19,21,0.067955708
4L,19,18,0.098982632
4L,19,17,0.23202743
4L,19,23,0.080827385
4L,19,19,0
4L,19,B1,0.018211455
4L,19,22,0.008768478
4L,19,B3,0.053791243
4L,19,21B,0.024000899
4L,19,16H,0.018548704
4L,19,20,0.093361812
4L,19,B2,0.000843123
4L,20,24,0.123928484
4L,20,15,0.150379623
4L,20,21,0.051514409
4L,20,18,0.096334395
4L,20,17,0.191280921
4L,20,23,0.073148828
4L,20,19,0.169646502
4L,20,B1,0.024491795
4L,20,22,0.016817699
4L,20,B3,0.057310801
4L,20,21B,0.030124908
4L,20,16H,0.015021634
4L,20,20,0
4L,20,B2,0
4L,21,24,0.203524641
4L,21,15,0.121101061
4L,21,21,0
4L,21,18,0.062149095
4L,21,17,0.172177168
4L,21,23,0.119931379
4L,21,19,0.093652527
4L,21,B1,0.030489707
4L,21,22,0.017077355
4L,21,B3,0.055910792
4L,21,21B,0.026200873
4L,21,16H,0.013490331
4L,21,20,0.08250156
4L,21,B2,0.001793512
4L,21B,24,0.189040341
4L,21B,15,0.100922484
4L,21B,21,0.033870302
4L,21B,18,0.041718298
4L,21B,17,0.084400386
4L,21B,23,0.158612144
4L,21B,19,0.059892606
4L,21B,B1,0.107669007
4L,21B,22,0.018862729
4L,21B,B3,0.119096792
4L,21B,21B,0
4L,21B,16H,0.006884208
4L,21B,20,0.059754922
4L,21B,B2,0.019275781
4L,22,24,0.153223027
4L,22,15,0.037228542
4L,22,21,0.038435022
4L,22,18,0.019820751
4L,22,17,0.028438469
4L,22,23,0.069631162
4L,22,19,0.022406067
4L,22,B1,0.312306101
4L,22,22,0
4L,22,B3,0.228714236
4L,22,21B,0.030162013
4L,22,16H,0.002412961
4L,22,20,0.03516029
4L,22,B2,0.022061358
4L,23,24,0.148498479
4L,23,15,0.215967721
4L,23,21,0.087643868
4L,23,18,0.05331393
4L,23,17,0.161198571
4L,23,23,0
4L,23,19,0.079243286
4L,23,B1,0.00502712
4L,23,22,0.026987697
4L,23,B3,0.035057547
4L,23,21B,0.086056357
4L,23,16H,0.01309697
4L,23,20,0.086188649
4L,23,B2,0.001719804
4L,24,24,0
4L,24,15,0.348457155
4L,24,21,0.069508655
4L,24,18,0.063810343
4L,24,17,0.184926352
4L,24,23,0.074884421
4L,24,19,0.075072573
4L,24,B1,0.001962155
4L,24,22,0.026529405
4L,24,B3,0.016234813
4L,24,21B,0.052548113
4L,24,16H,0.02182561
4L,24,20,0.063541555
4L,24,B2,0.00069885
4L,B1,24,0.002026678
4L,B1,15,0.020266785
4L,B1,21,0.011423097
4L,B1,18,0.006743312
4L,B1,17,0.020930061
4L,B1,23,0.004200752
4L,B1,19,0.012344314
4L,B1,B1,0
4L,B1,22,0.061500479
4L,B1,B3,0.778797258
4L,B1,21B,0.029957992
4L,B1,16H,0.00169504
4L,B1,20,0.015365908
4L,B1,B2,0.034748323
4L,B2,24,0.015091342
4L,B2,15,0.02700556
4L,B2,21,0.011119936
4L,B2,18,0.00675139
4L,B2,17,0.022239873
4L,B2,23,0.017871326
4L,B2,19,0.007942812
4L,B2,B1,0.468228753
4L,B2,22,0.064733916
4L,B2,B3,0.298649722
4L,B2,21B,0.039316918
4L,B2,16H,0.002382844
4L,B2,20,0.018665608
4L,B2,B2,0
4L,B3,24,0.041479213
4L,B3,15,0.044191315
4L,B3,21,0.019463323
4L,B3,18,0.011071759
4L,B3,17,0.04533997
4L,B3,23,0.028461121
4L,B3,19,0.030279825
4L,B3,B1,0.648096742
4L,B3,22,0.044031779
4L,B3,B3,0
4L,B3,21B,0.025110877
4L,B3,16H,0.002456846
4L,B3,20,0.040904885
4L,B3,B2,0.019112345
5H,15,24,0.301076514
5H,15,15,0
5H,15,21,0.017399946
5H,15,18,0.01291871
5H,15,17,0.446018249
5H,15,23,0.061698691
5H,15,19,0.01918119
5H,15,B1,0.027050139
5H,15,22,0.00646873
5H,15,B3,0.069022552
5H,15,21B,0.031362625
5H,15,16H,0
5H,15,20,0.007694842
5H,15,B2,0.000107812
5H,16,24,0.106565068
5H,16,15,0.001620653
5H,16,21,0.022518552
5H,16,18,0.024110773
5H,16,17,0.648602542
5H,16,23,0.031048307
5H,16,19,0.026186347
5H,16,B1,0.027096187
5H,16,22,0.004918825
5H,16,B3,0.085923062
5H,16,21B,0.01469961
5H,16,16H,0.000426488
5H,16,20,0.006283586
5H,16,B2,0
5H,17,24,0.108522987
5H,17,15,0.625002638
5H,17,21,0.012494284
5H,17,18,0.017145345
5H,17,17,0
5H,17,23,0.037819656
5H,17,19,0.024263076
5H,17,B1,0.017957895
5H,17,22,0.007473882
5H,17,B3,0.092298357
5H,17,21B,0.020424566
5H,17,16H,0.02850962
5H,17,20,0.008031412
5H,17,B2,5.63E-05
5H,18,24,0.111198702
5H,18,15,0.280408069
5H,18,21,0.02929129
5H,18,18,0
5H,18,17,0.248550893
5H,18,23,0.07227761
5H,18,19,0.092248242
5H,18,B1,0.021500889
5H,18,22,0.013231316
5H,18,B3,0.067331324
5H,18,21B,0.019012288
5H,18,16H,0.018038488
5H,18,20,0.026849061
5H,18,B2,6.18E-05
5H,19,24,0.101340435
5H,19,15,0.276840528
5H,19,21,0.039302464
5H,19,18,0.053108263
5H,19,17,0.247114001
5H,19,23,0.075442324
5H,19,19,0
5H,19,B1,0.020669532
5H,19,22,0.02501689
5H,19,B3,0.090844112
5H,19,21B,0.029374039
5H,19,16H,0.011622328
5H,19,20,0.028982385
5H,19,B2,0.000342697
5H,20,24,0.114238876
5H,20,15,0.21440281
5H,20,21,0.05704918
5H,20,18,0.039882904
5H,20,17,0.197868852
5H,20,23,0.12587822
5H,20,19,0.078665105
5H,20,B1,0.009976581
5H,20,22,0.049625293
5H,20,B3,0.061569087
5H,20,21B,0.042482436
5H,20,16H,0.008360656
5H,20,20,0
5H,20,B2,0
5H,21,24,0.072759424
5H,21,15,0.372322378
5H,21,21,0
5H,21,18,0.023864976
5H,21,17,0.193953248
5H,21,23,0.06626125
5H,21,19,0.067181345
5H,21,B1,0.019911441
5H,21,22,0.023979988
5H,21,B3,0.093360936
5H,21,21B,0.026323356
5H,21,16H,0.011299922
5H,21,20,0.028623595
5H,21,B2,0.000158141
5H,21B,24,0.092991248
5H,21B,15,0.317991248
5H,21B,21,0.013389328
5H,21B,18,0.011250706
5H,21B,17,0.147063806
5H,21B,23,0.087069452
5H,21B,19,0.024343591
5H,21B,B1,0.046640316
5H,21B,22,0.015916149
5H,21B,B3,0.225416431
5H,21B,21B,0
5H,21B,16H,0.005660644
5H,21B,20,0.011921231
5H,21B,B2,0.00034585
5H,22,24,0.035057167
5H,22,15,0.117235809
5H,22,21,0.01762954
5H,22,18,0.014310593
5H,22,17,0.098079301
5H,22,23,0.019446758
5H,22,19,0.025895359
5H,22,B1,0.060649655
5H,22,22,0
5H,22,B3,0.565684864
5H,22,21B,0.026299185
5H,22,16H,0.001829838
5H,22,20,0.0164433
5H,22,B2,0.001438631
5H,23,24,0.098759252
5H,23,15,0.411465482
5H,23,21,0.017241287
5H,23,18,0.022559548
5H,23,17,0.202023954
5H,23,23,0
5H,23,19,0.031225945
5H,23,B1,0.006023415
5H,23,22,0.013231059
5H,23,B3,0.097650384
5H,23,21B,0.068889786
5H,23,16H,0.008203472
5H,23,20,0.022651056
5H,23,B2,7.54E-05
5H,24,24,0
5H,24,15,0.655946435
5H,24,21,0.00758635
5H,24,18,0.012442689
5H,24,17,0.170779121
5H,24,23,0.043148604
5H,24,19,0.016862169
5H,24,B1,0.003719658
5H,24,22,0.00509244
5H,24,B3,0.040557143
5H,24,21B,0.027526321
5H,24,16H,0.009063752
5H,24,20,0.007230077
5H,24,B2,4.52E-05
5H,B1,24,0.00316596
5H,B1,15,0.046810862
5H,B1,21,0.002027222
5H,B1,18,0.002549564
5H,B1,17,0.024461031
5H,B1,23,0.004444101
5H,B1,19,0.003878091
5H,B1,B1,0
5H,B1,22,0.010357812
5H,B1,B3,0.886576329
5H,B1,21B,0.012247311
5H,B1,16H,0.001457853
5H,B1,20,0.00086833
5H,B1,B2,0.001155533
5H,B2,24,0.005760922
5H,B2,15,0.053288526
5H,B2,21,0.003360538
5H,B2,18,0.002880461
5H,B2,17,0.036965915
5H,B2,23,0.01200192
5H,B2,19,0.009601536
5H,B2,B1,0.305808929
5H,B2,22,0.048967835
5H,B2,B3,0.503600576
5H,B2,21B,0.012962074
5H,B2,16H,0
5H,B2,20,0.004800768
5H,B2,B2,0
5H,B3,24,0.043119214
5H,B3,15,0.08122905
5H,B3,21,0.006194885
5H,B3,18,0.003609778
5H,B3,17,0.087706199
5H,B3,23,0.03165612
5H,B3,19,0.01095715
5H,B3,B1,0.643562954
5H,B3,22,0.055416317
5H,B3,B3,0
5H,B3,21B,0.028780227
5H,B3,16H,0.004070986
5H,B3,20,0.002683101
5H,B3,B2,0.001014018
6H,15,24,0.180793129
6H,15,15,0
6H,15,21,0.019974415
6H,15,18,0.010727339
6H,15,17,0.448373538
6H,15,23,0.119188596
6H,15,19,0.03252924
6H,15,B1,0.074652778
6H,15,22,0.002759503
6H,15,B3,0.055226608
6H,15,21B,0.025073099
6H,15,16H,0
6H,15,20,0.030317982
6H,15,B2,0.000383772
6H,16,24,0.360749186
6H,16,15,0
6H,16,21,0.0252443
6H,16,18,0.030130293
6H,16,17,0.367263844
6H,16,23,0.042345277
6H,16,19,0.066775244
6H,16,B1,0.009771987
6H,16,22,0.004885993
6H,16,B3,0.040716612
6H,16,21B,0.024429967
6H,16,16H,0.004885993
6H,16,20,0.022801303
6H,16,B2,0
6H,17,24,0.091815111
6H,17,15,0.558653826
6H,17,21,0.009945238
6H,17,18,0.013281299
6H,17,17,0
6H,17,23,0.085038081
6H,17,19,0.044270997
6H,17,B1,0.022974759
6H,17,22,0.035689557
6H,17,B3,0.091982963
6H,17,21B,0.00858144
6H,17,16H,0.008203772
6H,17,20,0.029562955
6H,17,B2,0
6H,18,24,0.187046005
6H,18,15,0.096246973
6H,18,21,0.02905569
6H,18,18,0
6H,18,17,0.157687651
6H,18,23,0.197941889
6H,18,19,0.07657385
6H,18,B1,0.006658596
6H,18,22,0.034806295
6H,18,B3,0.0281477
6H,18,21B,0.06779661
6H,18,16H,0.00877724
6H,18,20,0.109261501
6H,18,B2,0
6H,19,24,0.186947791
6H,19,15,0.106425703
6H,19,21,0.024196787
6H,19,18,0.031726908
6H,19,17,0.200401606
6H,19,23,0.266666667
6H,19,19,0
6H,19,B1,0.00813253
6H,19,22,0.043373494
6H,19,B3,0.027409639
6H,19,21B,0.059839357
6H,19,16H,0.0062249
6H,19,20,0.038654618
6H,19,B2,0
6H,20,24,0.057117402
6H,20,15,0.505444466
6H,20,21,0.018214215
6H,20,18,0.088596318
6H,20,17,0.118689368
6H,20,23,0.068699267
6H,20,19,0.047911305
6H,20,B1,0.002474757
6H,20,22,0.013462681
6H,20,B3,0.029598099
6H,20,21B,0.041278955
6H,20,16H,0.008513166
6H,20,20,0
6H,20,B2,0
6H,21,24,0.287604592
6H,21,15,0.06051761
6H,21,21,0
6H,21,18,0.034053318
6H,21,17,0.078419926
6H,21,23,0.269507686
6H,21,19,0.059544658
6H,21,B1,0.00525394
6H,21,22,0.036582993
6H,21,B3,0.099241097
6H,21,21B,0.021988714
6H,21,16H,0.002724265
6H,21,20,0.044561199
6H,21,B2,0
6H,21B,24,0.18304967
6H,21B,15,0.13511636
6H,21B,21,0.037339354
6H,21B,18,0.032650226
6H,21B,17,0.107676276
6H,21B,23,0.140500174
6H,21B,19,0.08475165
6H,21B,B1,0.023966655
6H,21B,22,0.03560264
6H,21B,B3,0.08475165
6H,21B,21B,0
6H,21B,16H,0.004515457
6H,21B,20,0.128690518
6H,21B,B2,0.001389371
6H,22,24,0.041142155
6H,22,15,0.016518268
6H,22,21,0.013509364
6H,22,18,0.007368744
6H,22,17,0.104881793
6H,22,23,0.014123426
6H,22,19,0.052932146
6H,22,B1,0.050353086
6H,22,22,0
6H,22,B3,0.665397605
6H,22,21B,0.02198342
6H,22,16H,0.000429843
6H,22,20,0.007798588
6H,22,B2,0.00356156
6H,23,24,0.041929513
6H,23,15,0.445926038
6H,23,21,0.03728327
6H,23,18,0.067842708
6H,23,17,0.133305632
6H,23,23,0
6H,23,19,0.13258792
6H,23,B1,0.000604389
6H,23,22,0.020662562
6H,23,B3,0.062478752
6H,23,21B,0.021946889
6H,23,16H,0.002039814
6H,23,20,0.033392513
6H,23,B2,0
6H,24,24,0
6H,24,15,0.498962656
6H,24,21,0.042211937
6H,24,18,0.066469837
6H,24,17,0.12855091
6H,24,23,0.046919885
6H,24,19,0.064834025
6H,24,B1,0.000678264
6H,24,22,0.022661985
6H,24,B3,0.02705075
6H,24,21B,0.028806256
6H,24,16H,0.045084583
6H,24,20,0.027649218
6H,24,B2,0.000119694
6H,B1,24,0.000712479
6H,B1,15,0.127640626
6H,B1,21,0.002814292
6H,B1,18,0.000926223
6H,B1,17,0.069502333
6H,B1,23,0.001603078
6H,B1,19,0.004488618
6H,B1,B1,0
6H,B1,22,0.019985038
6H,B1,B3,0.760749528
6H,B1,21B,0.002208685
6H,B1,16H,0
6H,B1,20,0.002066189
6H,B1,B2,0.00730291
6H,B2,24,0
6H,B2,15,0
6H,B2,21,0.016064257
6H,B2,18,0
6H,B2,17,0
6H,B2,23,0
6H,B2,19,0
6H,B2,B1,0.702811245
6H,B2,22,0.212851406
6H,B2,B3,0.068273092
6H,B2,21B,0
6H,B2,16H,0
6H,B2,20,0
6H,B2,B2,0
6H,B3,24,0.030577677
6H,B3,15,0.085284678
6H,B3,21,0.01185665
6H,B3,18,0.002644717
6H,B3,17,0.057054558
6H,B3,23,0.093545703
6H,B3,19,0.005081422
6H,B3,B1,0.546951147
6H,B3,22,0.15250208
6H,B3,B3,0
6H,B3,21B,0.008112445
6H,B3,16H,0.002704148
6H,B3,20,0.003298467
6H,B3,B2,0.000386307
7H,15,24,0.150991614
7H,15,15,0
7H,15,21,0.00701868
7H,15,18,0.016736853
7H,15,17,0.56851312
7H,15,23,0.157110463
7H,15,19,0.02526725
7H,15,B1,0.026598999
7H,15,22,0.00601087
7H,15,B3,0.015369111
7H,15,21B,0.010330058
7H,15,16H,0
7H,15,20,0.016052982
7H,15,B2,0
7H,16,24,0.104116223
7H,16,15,0
7H,16,21,0
7H,16,18,0.014527845
7H,16,17,0.757869249
7H,16,23,0
7H,16,19,0.08716707
7H,16,B1,0
7H,16,22,0
7H,16,B3,0
7H,16,21B,0.014527845
7H,16,16H,0
7H,16,20,0.021791768
7H,16,B2,0
7H,17,24,0.194556723
7H,17,15,0.486507295
7H,17,21,0.003849559
7H,17,18,0.015244255
7H,17,17,0
7H,17,23,0.13877661
7H,17,19,0.013781422
7H,17,B1,0.051892058
7H,17,22,0.004927436
7H,17,B3,0.073873042
7H,17,21B,0.006120799
7H,17,16H,0.005235401
7H,17,20,0.005235401
7H,17,B2,0
7H,18,24,0.34201435
7H,18,15,0.030826468
7H,18,21,0.013287271
7H,18,18,0
7H,18,17,0.272920542
7H,18,23,0.104703694
7H,18,19,0.040393303
7H,18,B1,0.167419612
7H,18,22,0.003720436
7H,18,B3,0
7H,18,21B,0.008503853
7H,18,16H,0.001860218
7H,18,20,0.014350252
7H,18,B2,0
7H,19,24,0.139625585
7H,19,15,0.093603744
7H,19,21,0.011700468
7H,19,18,0.078523141
7H,19,17,0.331513261
7H,19,23,0.042121685
7H,19,19,0
7H,19,B1,0.20150806
7H,19,22,0.014040562
7H,19,B3,0.004680187
7H,19,21B,0.037701508
7H,19,16H,0
7H,19,20,0.044981799
7H,19,B2,0
7H,20,24,0.241074353
7H,20,15,0.111038323
7H,20,21,0.022928267
7H,20,18,0.096626269
7H,20,17,0.381919424
7H,20,23,0.030134294
7H,20,19,0.075990829
7H,20,B1,0.003603013
7H,20,22,0.00687848
7H,20,B3,0.015394694
7H,20,21B,0.007533574
7H,20,16H,0.00687848
7H,20,20,0
7H,20,B2,0
7H,21,24,0.229375298
7H,21,15,0.087267525
7H,21,21,0
7H,21,18,0.010014306
7H,21,17,0.100143062
7H,21,23,0.365283739
7H,21,19,0.090128755
7H,21,B1,0.021459227
7H,21,22,0.020028612
7H,21,B3,0.005722461
7H,21,21B,0.017644254
7H,21,16H,0
7H,21,20,0.052932761
7H,21,B2,0
7H,21B,24,0.084842319
7H,21B,15,0.412004069
7H,21B,21,0.028280773
7H,21B,18,0.032349949
7H,21B,17,0.069175992
7H,21B,23,0.068565615
7H,21B,19,0.138555443
7H,21B,B1,0.02034588
7H,21B,22,0.034181078
7H,21B,B3,0.075890132
7H,21B,21B,0
7H,21B,16H,0.003865717
7H,21B,20,0.031943032
7H,21B,B2,0
7H,22,24,0.097478992
7H,22,15,0.123361345
7H,22,21,0.027563025
7H,22,18,0.090084034
7H,22,17,0.063193277
7H,22,23,0.026554622
7H,22,19,0.024537815
7H,22,B1,0.085714286
7H,22,22,0
7H,22,B3,0.420168067
7H,22,21B,0.036302521
7H,22,16H,0
7H,22,20,0.005042017
7H,22,B2,0
7H,23,24,0.035082674
7H,23,15,0.573687994
7H,23,21,0.107692308
7H,23,18,0.010064702
7H,23,17,0.108698778
7H,23,23,0
7H,23,19,0.055355859
7H,23,B1,0
7H,23,22,0.013515457
7H,23,B3,0.05837527
7H,23,21B,0.017541337
7H,23,16H,0
7H,23,20,0.019985622
7H,23,B2,0
7H,24,24,0
7H,24,15,0.18704493
7H,24,21,0.06082401
7H,24,18,0.03551767
7H,24,17,0.339016161
7H,24,23,0.010788492
7H,24,19,0.019401527
7H,24,B1,0.000532765
7H,24,22,0.012475582
7H,24,B3,0.288137098
7H,24,21B,0.009944948
7H,24,16H,0.001420707
7H,24,20,0.034896111
7H,24,B2,0
7H,B1,24,0.002309723
7H,B1,15,0.044764628
7H,B1,21,0.008688957
7H,B1,18,0.07908051
7H,B1,17,0.114826221
7H,B1,23,0.001209855
7H,B1,19,0.070061593
7H,B1,B1,0
7H,B1,22,0.012318522
7H,B1,B3,0.656731192
7H,B1,21B,0.003299604
7H,B1,16H,0
7H,B1,20,0.001869776
7H,B1,B2,0.004839419
7H,B2,24,0
7H,B2,15,0
7H,B2,21,0
7H,B2,18,0
7H,B2,17,0
7H,B2,23,0
7H,B2,19,0
7H,B2,B1,1
7H,B2,22,0
7H,B2,B3,0
7H,B2,21B,0
7H,B2,16H,0
7H,B2,20,0
7H,B2,B2,0
7H,B3,24,0.375006827
7H,B3,15,0.021847179
7H,B3,21,0.001420067
7H,B3,18,0
7H,B3,17,0.186137965
7H,B3,23,0.027254356
7H,B3,19,0.000819269
7H,B3,B1,0.362444699
7H,B3,22,0.012835218
7H,B3,B3,0
7H,B3,21B,0.008083456
7H,B3,16H,0
7H,B3,20,0.004150964
7H,B3,B2,0
